2019-10-07 15:23:09.771 INFO  [main] o.s.core.annotation.AnnotationUtils: - Failed to introspect annotations on class org.springframework.cloud.netflix.eureka.config.EurekaDiscoveryClientConfigServiceBootstrapConfiguration: java.lang.IllegalStateException: Could not obtain annotation attribute value for public abstract java.lang.Class[] org.springframework.boot.autoconfigure.condition.ConditionalOnClass.value()
2019-10-07 15:23:10.064 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker: - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$44f254f7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-07 15:23:11.593 INFO  [main] c.c.f.f.i.p.DefaultApplicationProvider: - App ID is set to deepexi-service-a-provider by app.id property from System Property
2019-10-07 15:23:11.596 INFO  [main] c.c.f.f.i.p.DefaultServerProvider: - Environment is set to null. Because it is not available in either (1) JVM system property 'env', (2) OS env variable 'ENV' nor (3) property 'env' from the properties InputStream.
2019-10-07 15:23:11.674 INFO  [main] c.c.f.a.i.DefaultMetaServerProvider: - Located meta services from apollo.meta configuration: http://localhost:8080!
2019-10-07 15:23:11.677 INFO  [main] c.c.f.apollo.core.MetaDomainConsts: - Located meta server address http://localhost:8080 for env UNKNOWN from com.ctrip.framework.apollo.internals.DefaultMetaServerProvider
2019-10-07 15:23:21.121 WARN  [main] c.c.f.a.i.AbstractConfigRepository: - Sync config failed, will retry. Repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository, reason: Get config services failed from http://localhost:8080/services/config?appId=deepexi-service-a-provider&ip=192.168.101.26 [Cause: Could not complete get operation [Cause: connect timed out]]
2019-10-07 15:23:25.159 WARN  [main] c.c.f.a.i.LocalFileConfigRepository: - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://localhost:8080/services/config?appId=deepexi-service-a-provider&ip=192.168.101.26 [Cause: Could not complete get operation [Cause: connect timed out]]
2019-10-07 15:23:29.181 WARN  [ngPollService-1] c.c.f.a.i.RemoteConfigLongPollService: - Long polling failed, will retry in 1 seconds. appId: deepexi-service-a-provider, cluster: default, namespaces: application, long polling url: null, reason: Get config services failed from http://localhost:8080/services/config?appId=deepexi-service-a-provider&ip=192.168.101.26 [Cause: Could not complete get operation [Cause: connect timed out]]
2019-10-07 15:23:33.168 WARN  [main] c.c.f.a.i.LocalFileConfigRepository: - Sync config from upstream repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository failed, reason: Get config services failed from http://localhost:8080/services/config?appId=deepexi-service-a-provider&ip=192.168.101.26 [Cause: Could not complete get operation [Cause: connect timed out]]
2019-10-07 15:23:33.171 WARN  [main] c.c.f.a.i.AbstractConfigRepository: - Sync config failed, will retry. Repository class com.ctrip.framework.apollo.internals.LocalFileConfigRepository, reason: Load config from local config failed! [Cause: Cannot read from local cache file C:\opt\data\deepexi-service-a-provider\config-cache\deepexi-service-a-provider+default+application.properties]
2019-10-07 15:23:37.172 WARN  [ngPollService-1] c.c.f.a.i.RemoteConfigLongPollService: - Long polling failed, will retry in 2 seconds. appId: deepexi-service-a-provider, cluster: default, namespaces: application, long polling url: null, reason: Get config services failed from http://localhost:8080/services/config?appId=deepexi-service-a-provider&ip=192.168.101.26 [Cause: Could not complete get operation [Cause: connect timed out]]
2019-10-07 15:30:51.164 INFO  [main] o.s.core.annotation.AnnotationUtils: - Failed to introspect annotations on class org.springframework.cloud.netflix.eureka.config.EurekaDiscoveryClientConfigServiceBootstrapConfiguration: java.lang.IllegalStateException: Could not obtain annotation attribute value for public abstract java.lang.Class[] org.springframework.boot.autoconfigure.condition.ConditionalOnClass.value()
2019-10-07 15:30:51.401 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker: - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$66017e8e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-07 15:30:52.919 INFO  [main] c.c.f.f.i.p.DefaultApplicationProvider: - App ID is set to deepexi-service-a-provider by app.id property from System Property
2019-10-07 15:30:52.922 INFO  [main] c.c.f.f.i.p.DefaultServerProvider: - Environment is set to null. Because it is not available in either (1) JVM system property 'env', (2) OS env variable 'ENV' nor (3) property 'env' from the properties InputStream.
2019-10-07 15:30:52.961 INFO  [main] c.c.f.a.i.DefaultMetaServerProvider: - Located meta services from apollo.meta configuration: http://localhost:8080!
2019-10-07 15:30:52.964 INFO  [main] c.c.f.apollo.core.MetaDomainConsts: - Located meta server address http://localhost:8080 for env UNKNOWN from com.ctrip.framework.apollo.internals.DefaultMetaServerProvider
2019-10-07 16:27:06.047 INFO  [main] o.s.core.annotation.AnnotationUtils: - Failed to introspect annotations on class org.springframework.cloud.netflix.eureka.config.EurekaDiscoveryClientConfigServiceBootstrapConfiguration: java.lang.IllegalStateException: Could not obtain annotation attribute value for public abstract java.lang.Class[] org.springframework.boot.autoconfigure.condition.ConditionalOnClass.value()
2019-10-07 16:27:06.464 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker: - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$33f5845c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-10-07 16:27:08.537 INFO  [main] c.c.f.f.i.p.DefaultApplicationProvider: - App ID is set to deepexi-service-a-provider by app.id property from System Property
2019-10-07 16:27:08.557 INFO  [main] c.c.f.f.i.p.DefaultServerProvider: - Environment is set to [DEV] by JVM system property 'env'.
2019-10-07 16:27:08.627 WARN  [main] c.c.f.a.i.ConfigServiceLocator: - Located config services from apollo.configService configuration: http://127.0.0.1:8080, will not refresh config services from remote meta service!
2019-10-07 16:27:11.567 WARN  [main] c.c.f.a.i.RemoteConfigRepository: - Load config failed, will retry in 1 SECONDS. appId: deepexi-service-a-provider, cluster: default, namespaces: application
2019-10-07 16:27:13.571 WARN  [main] c.c.f.a.i.AbstractConfigRepository: - Sync config failed, will retry. Repository class com.ctrip.framework.apollo.internals.RemoteConfigRepository, reason: Load Apollo Config failed - appId: deepexi-service-a-provider, cluster: default, namespace: application, url: http://127.0.0.1:8080/configs/deepexi-service-a-provider/default/application?ip=192.168.101.26 [Cause: Could not complete get operation [Cause: connect timed out]]
2019-10-07 16:27:14.586 WARN  [main] c.c.f.a.i.RemoteConfigRepository: - Load config failed, will retry in 1 SECONDS. appId: deepexi-service-a-provider, cluster: default, namespaces: application
